id,title,description,bank,provider,category,is_active,created_at,updated_at,url
1,Starbucks,30% dcto. todos los martes y miércoles,entel,Entel,Club Entel,1,2025-06-14T00:26:32.318266,2025-06-14T00:26:32.318329,https://www.entel.cl/beneficios/descuentos/comida/starbucks
2,Castaño,Aprovecha las promociones desde $2.800 todos los días,entel,Entel,Club Entel,1,2025-06-14T00:26:32.318808,2025-06-14T00:26:32.318834,https://www.entel.cl/beneficios/descuentos/comida/castano
3,Wild Foods,Dctos. online en productos seleccionados,entel,Entel,Club Entel,1,2025-06-14T00:26:32.319226,2025-06-14T00:26:32.319238,https://www.entel.cl/beneficios/descuentos/comida/wildfoods
4,Papa Johns,25% de dcto. en el total de tu boleta,entel,Entel,Club Entel,1,2025-06-14T00:26:32.319480,2025-06-14T00:26:32.319492,https://www.entel.cl/beneficios/descuentos/comida/papa-johns
5,Farmacia Fracción,10% dcto. Compras online en bioequivalentes.,entel,Entel,Club Entel,1,2025-06-14T00:26:32.319898,2025-06-14T00:26:32.319913,https://www.entel.cl/beneficios/descuentos/bienestar/farmacia-fraccion
6,Natura,30% OFF adicional los viernes,entel,Entel,Club Entel,1,2025-06-14T00:26:32.320255,2025-06-14T00:26:32.320276,https://www.entel.cl/beneficios/descuentos/bienestar/natura
7,Farmacia Ahumada,Descuentos en compras presenciales.,entel,Entel,Club Entel,1,2025-06-14T00:26:32.320514,2025-06-14T00:26:32.320523,https://www.entel.cl/beneficios/descuentos/bienestar/farmacia-ahumada
8,Beauty Plus,30% dcto. en todas las compras online.,entel,Entel,Club Entel,1,2025-06-14T00:26:32.320717,2025-06-14T00:26:32.320726,https://www.entel.cl/beneficios/descuentos/tienda/beauty-plus
9,Late,Dctos. en productos y recargas de botellones,entel,Entel,Club Entel,1,2025-06-14T00:26:32.320958,2025-06-14T00:26:32.320969,https://www.entel.cl/beneficios/descuentos/tienda/late
10,miCoca-Cola.cl,"25% de dcto. en el total de tu boleta, al comprar online",entel,Entel,Club Entel,1,2025-06-14T00:26:32.321180,2025-06-14T00:26:32.321187,https://www.entel.cl/beneficios/descuentos/comida/cocacola
11,Klean Kanteen,Hasta 30% dcto. en limitesur.cl y tiendas físicas,entel,Entel,Club Entel,1,2025-06-14T00:26:32.321445,2025-06-14T00:26:32.321452,https://www.entel.cl/beneficios/descuentos/tienda/klean-kanteen
12,Belsport ,20% de Dcto. en Belsport,entel,Entel,Club Entel,1,2025-06-14T00:26:32.321613,2025-06-14T00:26:32.321622,https://www.entel.cl/beneficios/descuentos/tienda/belsport
13,Kylie Minogue,Kylie Minogue - Movistar Arena \n12 de agosto 2025,entel,Entel,Club Entel,1,2025-06-14T00:26:32.321771,2025-06-14T00:26:32.321779,https://www.entel.cl/beneficios/eventos/kylie-minogue
14,Chayanne,"Chayanne - Movistar Arena \n 20, 21 y 23 de agosto 2025",entel,Entel,Club Entel,1,2025-06-14T00:26:32.321926,2025-06-14T00:26:32.321932,https://www.entel.cl/beneficios/eventos/chayanne
15,Katy Perry,Estadio Bicentenario de la Florida. \n 6 de septiembre 2025,entel,Entel,Club Entel,1,2025-06-14T00:26:32.322072,2025-06-14T00:26:32.322077,https://www.entel.cl/beneficios/eventos/katy-perry
16,Hozier,Movistar Arena \n 24 de mayo de 2025,entel,Entel,Club Entel,1,2025-06-14T00:26:32.322174,2025-06-14T00:26:32.322177,https://www.entel.cl/beneficios/eventos/hozier
17,Entrelagos,15% de dcto. en compras realizadas de manera online,entel,Entel,Club Entel,1,2025-06-14T00:26:32.322243,2025-06-14T00:26:32.322245,https://www.entel.cl/beneficios/descuentos/comida/entrelagos
18,Corrales del Sur,15% dcto. embutidos y línea hogar todos los lunes.,entel,Entel,Club Entel,1,2025-06-14T00:26:32.322393,2025-06-14T00:26:32.322396,https://www.entel.cl/beneficios/descuentos/comida/corralesdelsur
19,Mamut,20% OFF en toda la carta de Restaurant Mamut,entel,Entel,Club Entel,1,2025-06-14T00:26:32.322480,2025-06-14T00:26:32.322485,https://www.entel.cl/beneficios/descuentos/comida/mamut
